,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.6,0.75,5.0
Apple___Black_rot,1.0,1.0,1.0,5.0
Apple___Cedar_apple_rust,1.0,1.0,1.0,5.0
Apple___healthy,1.0,1.0,1.0,5.0
Blueberry___healthy,1.0,1.0,1.0,5.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,5.0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,5.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.7142857142857143,1.0,0.8333333333333334,5.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,5.0
Corn_(maize)___Northern_Leaf_Blight,1.0,0.8,0.8888888888888888,5.0
Corn_(maize)___healthy,1.0,1.0,1.0,5.0
Grape___Black_rot,1.0,1.0,1.0,5.0
Grape___Esca_(Black_Measles),1.0,1.0,1.0,5.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,5.0
Grape___healthy,1.0,1.0,1.0,5.0
Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,5.0
Peach___Bacterial_spot,1.0,1.0,1.0,5.0
Peach___healthy,1.0,1.0,1.0,5.0
"Pepper,_bell___Bacterial_spot",0.7142857142857143,1.0,0.8333333333333334,5.0
"Pepper,_bell___healthy",1.0,1.0,1.0,5.0
Potato___Early_blight,0.7142857142857143,1.0,0.8333333333333334,5.0
Potato___Late_blight,0.8,0.8,0.8,5.0
Potato___healthy,1.0,1.0,1.0,5.0
Raspberry___healthy,1.0,1.0,1.0,5.0
Soybean___healthy,1.0,1.0,1.0,5.0
Squash___Powdery_mildew,1.0,1.0,1.0,5.0
Strawberry___Leaf_scorch,1.0,0.8,0.8888888888888888,5.0
Strawberry___healthy,1.0,1.0,1.0,5.0
Tomato___Bacterial_spot,1.0,1.0,1.0,5.0
Tomato___Early_blight,1.0,0.8,0.8888888888888888,5.0
Tomato___Late_blight,1.0,0.6,0.75,5.0
Tomato___Leaf_Mold,1.0,1.0,1.0,5.0
Tomato___Septoria_leaf_spot,1.0,1.0,1.0,5.0
Tomato___Spider_mites Two-spotted_spider_mite,1.0,0.8,0.8888888888888888,5.0
Tomato___Target_Spot,0.6666666666666666,0.8,0.7272727272727273,5.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,1.0,1.0,5.0
Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,5.0
Tomato___healthy,0.8333333333333334,1.0,0.9090909090909091,5.0
accuracy,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9473684210526315
macro avg,0.9590225563909774,0.9473684210526314,0.9471557682083996,190.0
weighted avg,0.9590225563909774,0.9473684210526315,0.9471557682083998,190.0
